date,platform,summary,name,name_cn,tags,total_episodes,collection,id,eps,volumes,locked,nsfw,type,small_cover,grid_cover,large_cover,medium_cover,common_cover,版本特性,艺术家,发售日期,价格,播放时长,发行商,录音,碟片数量,rank,votes,ratings,rating_score,发行方,Artist,作词,作曲,编曲,品番,Type,Released,Length,Discs,制作人,中文名,厂牌,别名,介质,商品编号,特设,website,Website,产品编号,编号,Publisher,官方主页,官方网站,插图,レーベル,規格品番,ASIN,EAN,再版,備註,Official Web Site,其他,サークル,版号,出版,歌手,Catalog,HP,唱片公司,Vocal,Illustration,Producer,Lyrics,Arrange,Compose,作り手,剧本,曲目条数,社团,Strings,英文名,编录,Composer,条形码,脚本,备注,Recorded,展会,制作,发布,作詞,版权,表演者,出版者,条型码,商品番号,Sound Director,Arrangement,Conductor,Orchestra,Choir,Band,Drums,Keyboard,Piano,混音,流派,专辑类型,发行时间,其他发行日期,声音工程师,录音师,混音师,混音助理,母带制作,音乐监制,JANコード,其他发售日期,Remix,Tracks,JAN,售价,官网,媒介,发售商,Arranger,出版社,発売元,販売元,Circle,绘图,象征标志设计,鏡音リン出场服装设计,唱片数,联合制作,出品,bandcamp
2009-03-25,,人气动画《银魂》的主题歌精选集，收录了06年4月~08年7月的OP&ED，DVD收录相应NCOP&ED，附精美BK。,銀魂BEST,,"{'银魂': 34, 'OP': 21, '银他妈': 20, 'ED': 19, '銀魂': 14, '精选集': 13, '原声': 11, '2009': 9, 'アニメ': 8, 'BEST': 7, '壮银！': 4, 'anime': 3, 'album': 3, '动画': 2, '日本': 2, '☆ACG': 1, '★J-POP': 1, 'アニソン': 1, '合集': 1, '印象曲': 1, '主题歌集': 1, 'Aniplex': 1}",15,"{'on_hold': 4, 'dropped': 2, 'wish': 12, 'collect': 184, 'doing': 5}",7034,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/1f/50/7034_jp.jpg,https://lain.bgm.tv/r/100/pic/cover/l/1f/50/7034_jp.jpg,https://lain.bgm.tv/pic/cover/l/1f/50/7034_jp.jpg,https://lain.bgm.tv/r/800/pic/cover/l/1f/50/7034_jp.jpg,https://lain.bgm.tv/r/400/pic/cover/l/1f/50/7034_jp.jpg,CD+DVD / Limited Edition,VA,2009-03-25,"￥ 3,990",61 m,Aniplex (music),Aniplex (music),1,543,133,"{'1': 0, '2': 0, '3': 0, '4': 2, '5': 1, '6': 4, '7': 21, '8': 54, '9': 28, '10': 23}",8.25563909774436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004-06-21,,,雪の華,,"{'中岛美嘉': 5, '2004': 5, '其他': 3, '艺人专辑': 2, '平成歌单': 2, '一心二用': 2, '日本音乐': 2, 'single': 2, '专辑': 2, '中島美嘉': 2, 'JPOP': 1}",4,"{'on_hold': 1, 'dropped': 0, 'wish': 0, 'collect': 41, 'doing': 2}",192241,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/83/35/192241_jp.jpg,https://lain.bgm.tv/r/100/pic/cover/l/83/35/192241_jp.jpg,https://lain.bgm.tv/pic/cover/l/83/35/192241_jp.jpg,https://lain.bgm.tv/r/800/pic/cover/l/83/35/192241_jp.jpg,https://lain.bgm.tv/r/400/pic/cover/l/83/35/192241_jp.jpg,Single / Maxi,中島美嘉,2004-06-21,"￥ 1,049",21 m,,ソニー・ミュージックアソシエイテッドレコーズ,,998,31,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1, '6': 1, '7': 2, '8': 15, '9': 9, '10': 3}",8.258064516129032,ソニー・ミュージックアソシエイテッドレコーズ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-12-26,,「ef-a tale of memories.」テレビアニメ第2期のオリジナル・サウンドトラック。物語の音楽を手がけるのは、前作で高い評価を得た天門&柳英一朗。。流れるようなメロディーラインにうっとりしてしまうモノから疾走感あふれるモノまで、どれをとっても鳥肌モノです! ,ef - a tale of melodies. ORIGINAL SOUNDTRACK ~elegia~,,"{'ef': 34, 'OST': 22, '天門': 21, '天门': 16, 'anime': 7, '柳英一郎': 6, '2008': 5, 'ELISA': 5, 'アニメ': 4, '中島裕美子': 2, '2012': 2, '神曲': 2, '後藤麻衣': 1, '动画': 1}",25,"{'on_hold': 2, 'dropped': 0, 'wish': 13, 'collect': 208, 'doing': 6}",1474,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/7d/60/1474_76DD8.jpg,https://lain.bgm.tv/r/100/pic/cover/l/7d/60/1474_76DD8.jpg,https://lain.bgm.tv/pic/cover/l/7d/60/1474_76DD8.jpg,https://lain.bgm.tv/r/800/pic/cover/l/7d/60/1474_76DD8.jpg,https://lain.bgm.tv/r/400/pic/cover/l/7d/60/1474_76DD8.jpg,"Original recording, Soundtrack",,2008-12-26,"￥ 2,940",49 分,,ジェネオンエンタテインメント,1,450,132,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 6, '7': 16, '8': 61, '9': 27, '10': 22}",8.325757575757576,,ELISA、雨宮優子(中島裕美子)、羽山ミズキ(後藤麻衣),酒井伸和、西田恵美、中島裕美子、庄名泉石,天門、柳英一郎,天門、柳英一郎,GNCA-1165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009-12-02,,,Coquillage~The Best Collection II~,,"{'Kokia': 18, 'JPOP': 5, '精选': 3, '专辑': 3, '日本': 2, '2009': 2, 'album': 2, '补': 1}",17,"{'on_hold': 1, 'dropped': 0, 'wish': 5, 'collect': 33, 'doing': 1}",3747,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/d8/84/3747_8Tq8t.jpg,https://lain.bgm.tv/r/100/pic/cover/l/d8/84/3747_8Tq8t.jpg,https://lain.bgm.tv/pic/cover/l/d8/84/3747_8Tq8t.jpg,https://lain.bgm.tv/r/800/pic/cover/l/d8/84/3747_8Tq8t.jpg,https://lain.bgm.tv/r/400/pic/cover/l/d8/84/3747_8Tq8t.jpg,,,,,,,,,420,28,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 0, '7': 2, '8': 9, '9': 12, '10': 5}",8.714285714285714,,KOKIA,,,,,best album,2009-12-02,85 分,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-21,,"前作『ヘミソフィア』から1年振りのリリースとなる作品。シングルタイトル曲としては初の英語詞作品である。

カップリング曲「パーク・アムステルダム」は後にアルバム『少年アリス』にて「park amsterdam (the whole story)」として完全版が収録されている。",gravity,,"{'菅野よう子': 15, '坂本真綾': 15, '菅野洋子': 10, '坂本真绫': 8, 'ED': 8, '狼雨': 4, 'WOLF’S_RAIN': 2, '动漫主题曲': 2, '2003': 2, '动画': 1, '2003年': 1, '未观看原作': 1, 'VICTOR': 1, '日本': 1, 'single': 1, 'JPOP': 1, 'anime': 1}",3,"{'on_hold': 3, 'dropped': 0, 'wish': 3, 'collect': 71, 'doing': 2}",31328,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/e8/2b/31328_NsV5n.jpg,https://lain.bgm.tv/r/100/pic/cover/l/e8/2b/31328_NsV5n.jpg,https://lain.bgm.tv/pic/cover/l/e8/2b/31328_NsV5n.jpg,https://lain.bgm.tv/r/800/pic/cover/l/e8/2b/31328_NsV5n.jpg,https://lain.bgm.tv/r/400/pic/cover/l/e8/2b/31328_NsV5n.jpg,Single / Maxi,坂本真綾,2003-02-21,"￥ 1,050",10 分,,,1,447,50,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1, '6': 1, '7': 5, '8': 15, '9': 22, '10': 6}",8.48,ビクターエンタテインメント,,Troy / 坂本真綾,菅野よう子,菅野よう子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007-05-16,,福岡出身の3ピース・ロック・バンド、DOESの通算4枚目のシングル。TV:TX系アニメ『銀魂』のエンディング・テーマを収録。疾走感にあふれたメロディアスなナンバー。ハードななかにも繊細な部分が含まれる、DOESの真骨頂といえる作品です。C/Wは「ワインディング・ロード」。,修羅,,"{'银魂': 112, 'DOES': 107, '銀魂': 52, 'ED': 48, '燃': 41, 'Gintama': 23, 'Gintam': 22, 'J-rock': 15, 'anime': 14, '银他妈': 14, 'OPED': 8, '原声': 6, 'ACG': 5, '2007': 5, 'single': 4, '动漫主题曲': 2, 'アニメ': 2, '＊＊＊': 1, '平成歌单': 1, '未观看原作': 1, '2007年': 1, 'op&ed': 1, '动画': 1, '推荐': 1}",2,"{'on_hold': 2, 'dropped': 3, 'wish': 9, 'collect': 453, 'doing': 4}",915,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/24/89/915_kpMwz.jpg,https://lain.bgm.tv/r/100/pic/cover/l/24/89/915_kpMwz.jpg,https://lain.bgm.tv/pic/cover/l/24/89/915_kpMwz.jpg,https://lain.bgm.tv/r/800/pic/cover/l/24/89/915_kpMwz.jpg,https://lain.bgm.tv/r/400/pic/cover/l/24/89/915_kpMwz.jpg,"Single, Maxi",DOES,2007-05-16,"￥ 1,020",7 分,,King Record,1,195,346,"{'1': 0, '2': 1, '3': 0, '4': 0, '5': 3, '6': 9, '7': 44, '8': 104, '9': 110, '10': 75}",8.528901734104046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-06-11,,"きりたんPことdorikoの 1stシングル 。代表作2作を携えて Groove note からデビュー。
イラストは初回版・通常版共にnezuki氏が担当。
当初は同人ルートで発売されたが、発売直後に全国流通の許可が下りたため「通常版」としての再販が決定した。
収録曲は2曲ともJOYSOUNDからカラオケ配信中。
通常版発売同日に、2ndシングル『夕日坂』も発売された。
6/10付オリコンデイリーシングルチャートで、初登場25位を記録。
本作及び『夕日坂』は、現在の店頭在庫をもって廃盤となるようです。（作者サイトより）",歌に形はないけれど,,"{'Vocaloid': 58, '初音ミク': 49, 'doriko': 39, '歌に形はないけれど': 36, '神曲': 13, '治愈系': 11, '2008': 9, '催泪神曲': 6, '治愈': 5, '催泪': 4, 'フェイP': 3, 'miku赛高': 2, '已整理': 1, '抒情曲': 1, '泛Vocaloid': 1, '旋律写的太美，心目中的神作': 1, 'Coterie': 1, 'ボーカロイド': 1, '单曲': 1, 'v家': 1, 'pop': 1, '同人音楽': 1}",3,"{'on_hold': 1, 'dropped': 0, 'wish': 13, 'collect': 257, 'doing': 7}",2954,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/dc/20/2954_c7v7f.jpg,https://lain.bgm.tv/r/100/pic/cover/l/dc/20/2954_c7v7f.jpg,https://lain.bgm.tv/pic/cover/l/dc/20/2954_c7v7f.jpg,https://lain.bgm.tv/r/800/pic/cover/l/dc/20/2954_c7v7f.jpg,https://lain.bgm.tv/r/400/pic/cover/l/dc/20/2954_c7v7f.jpg,同人音楽,初音ミク,2008-06-11,"￥1,000",15分,,,1,271,183,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 3, '6': 4, '7': 25, '8': 60, '9': 54, '10': 37}",8.469945355191257,Groove note,,,,,,,,,,doriko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-28,,荒川弘のコミックを原作に沿って再アニメ化したアクション・アドヴェンチャーのベスト・コンピレーション・アルバム。YUI「again」、スキマスイッチ「ゴールデンタイムラバー」、シド「レイン」など、豪華アーティストによる楽曲を収録する。,鋼の錬金術師 FULLMETAL ALCHEMIST FINAL BEST,,"{'鋼の錬金術師': 25, 'YUI': 15, '中川翔子': 14, 'OP': 9, 'anime': 8, 'BEST': 7, 'SCANDAL': 7, 'ED': 7, '钢炼': 6, 'スキマスイッチ': 4, '钢之炼金术师': 4, '2010': 4, 'V.A.': 3, 'NICO_Touches_the_Walls': 2, '福原美穂': 2, 'シド': 2, 'CHEMISTRY': 2, '精选': 2, 'ゆうや': 1, 'Lil_B': 1, 'OPED剧中曲': 1, '版权受限（呕）': 1, 'ボーカルアルバム': 1, 'LilB': 1, 'TM': 1, 'アニメ': 1, '动画': 1, 'anisong': 1, '主题歌': 1, '主题歌集': 1}",24,"{'on_hold': 0, 'dropped': 1, 'wish': 12, 'collect': 181, 'doing': 5}",6385,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/21/07/6385_FzEJc.jpg,https://lain.bgm.tv/r/100/pic/cover/l/21/07/6385_FzEJc.jpg,https://lain.bgm.tv/pic/cover/l/21/07/6385_FzEJc.jpg,https://lain.bgm.tv/r/800/pic/cover/l/21/07/6385_FzEJc.jpg,https://lain.bgm.tv/r/400/pic/cover/l/21/07/6385_FzEJc.jpg,CD+DVD / Limited Edition,YUI、シド、NICO Touches the Walls、福原美穂、スキマスイッチ、Lil'B、CHEMISTRY、SCANDAL、中川翔子,2010-07-28,"￥ 3,500",,,アニプレックス,,202,130,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 0, '6': 4, '7': 12, '8': 41, '9': 48, '10': 25}",8.6,アニプレックス,,YUI、マオ、光村龍哉、福原美穂、スキマスイッチ、AILA(Lil'B)、川畑要、SCANDAL、小林夏海、中川翔子,YUI、ゆうや、光村龍哉、福原美穂、山口寛雄、スキマスイッチ、黒光雄輝、Jonas Myrin、Peter Kvint、江上浩太郎、田鹿祐一、鈴木健太朗、木村篤史、御恵明希,近藤ひさし、シド、西平彰、亀田誠治、NICO Touches the Walls、安原兵衛、スキマスイッチ、黒光雄輝、板垣祐介、川口圭太、島田昌典、Sakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-07-12,,,時をかける少女 オリジナル・サウンドトラック,穿越时空的少女 OST,"{'OST': 56, '穿越时空的少女': 55, '奥華子': 48, '吉田潔': 20, '時をかける少女': 18, 'anime': 11, '2006': 11, '吉田洁': 8, '日本': 2, '动画电影': 1, 'bach': 1, '动画': 1}",15,"{'on_hold': 5, 'dropped': 0, 'wish': 32, 'collect': 238, 'doing': 7}",3101,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/62/f9/3101_F2OPs.jpg,https://lain.bgm.tv/r/100/pic/cover/l/62/f9/3101_F2OPs.jpg,https://lain.bgm.tv/pic/cover/l/62/f9/3101_F2OPs.jpg,https://lain.bgm.tv/r/800/pic/cover/l/62/f9/3101_F2OPs.jpg,https://lain.bgm.tv/r/400/pic/cover/l/62/f9/3101_F2OPs.jpg,OST,奥華子,2006-07-12,"2,500日元",45.5分钟,,,1,1052,170,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 3, '6': 8, '7': 34, '8': 78, '9': 31, '10': 16}",8.023529411764706,ポニーキャニオン／波麗佳音（Pony Canyon）,,奥華子,吉田潔、Johann Sebastian Bach、奥華子,吉田潔、奥華子,,,,,,吉田潔,穿越时空的少女 OST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-09-27,,"滨崎步一年一度的冬日情歌，搭载日本テレビ系列动画「犬夜叉」片尾曲，饱含深情的唱腔将内心的真实情感得到了高度的释放，也正是这种呼之欲出的强烈的感情传达，使得此曲获得大学生的一致认可，成为kTV点唱率极高的曲目。滨崎步更是凭借此曲问鼎第43届日本唱片大赏。歌曲的两个不同版本也分别拍摄了风格迥异的音乐电视录影带，亦成为话题之一。更加值得纪念的是，此张单曲亦打入英国排行榜top10，开创日本艺人英伦发展之先河。

アナタはどのバージョンが好き?大ヒットナンバー「Dearest」を8バージョンにアレンジ!それぞれテイストが違って新鮮なあゆが味わえます!NTV系『犬夜叉』エンディング・テーマ、CM:ツーカーセルラー東京『TU-KA』イメージソング。浜崎あゆみの、「UNITE!」につづくシングル。",Dearest,最爱,"{'滨崎步': 12, 'ED': 12, '犬夜叉': 8, '2001': 6, '浜崎あゆみ': 3, 'ayu': 2, '已经购入': 1, '＊': 1, '已整理': 1, '动画OP': 1, 'OPED': 1, '动漫主题曲': 1, 'Dearest': 1}",11,"{'on_hold': 1, 'dropped': 1, 'wish': 3, 'collect': 81, 'doing': 2}",32009,0,0,False,False,3,https://lain.bgm.tv/r/200/pic/cover/l/44/c7/32009_jp.jpg,https://lain.bgm.tv/r/100/pic/cover/l/44/c7/32009_jp.jpg,https://lain.bgm.tv/pic/cover/l/44/c7/32009_jp.jpg,https://lain.bgm.tv/r/800/pic/cover/l/44/c7/32009_jp.jpg,https://lain.bgm.tv/r/400/pic/cover/l/44/c7/32009_jp.jpg,Maxi,浜崎あゆみ,2001-09-27,"￥ 1,260",59 m,,エイベックス・トラックス,1,887,57,"{'1': 0, '2': 0, '3': 0, '4': 0, '5': 1, '6': 1, '7': 8, '8': 29, '9': 12, '10': 6}",8.192982456140351,エイベックス・トラックス,,,,,,,,,,,最爱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
